UID	DURATION	FILENAME
2019-07-10-h	0:41	Tepet_BotFl_CRF402-JFx414_84137_Leguminosae-Melilotus_2019-07-10-h.wav
2019-07-10-j	0:52	Tepet_BotFl_JFx414-CRF402_84138_Apiaceae-Pendiente_2019-07-10-j.wav
2019-07-10-l	0:51	Tepet_BotFl_CRF402-JFx414_84139_Apocynaceae-Asclepias_2019-07-10-l.wav
2019-07-10-n	1:06	Tepet_BotFl_CRF402-JFx414_84140_Euphorbiaceae-Cnidoscolus_2019-07-10-n.wav
2019-07-10-p	1:10	Tepet_BotFl_CRF402-JFx414_84141_Malpighiaceae-Tetrapterys_2019-07-10-p.wav
2019-07-10-r	1:03	Tepet_BotFl_CRF402-JFx414_84142_Phytolaccaceae-Phytolacca_2019-07-10-r.wav
2019-07-10-t	0:51	Tepet_BotFl_CRF402-JFx414_84143_Apocynaceae-Matelea_2019-07-10-t.wav
2019-07-10-v	0:52	Tepet_BotFl_CRF402-JFx414_84144_Asteraceae-Clibadium_2019-07-10-v.wav
2019-07-11-ab	0:50	Tepet_BotFl_JFx414-CRF402_84158_Poaceae-Pendiente_2019-07-11-ab.wav
2019-07-11-b	0:52	Tepet_BotFl_JFx414-CRF402_84145_Loganiaceae-Spigelia_2019-07-11-b.wav
2019-07-11-d	1:02	Tepet_BotFl_CRF402-JFx414_84146_Asteraceae-Sonchus_2019-07-11-d.wav
2019-07-11-f	1:04	Tepet_BotFl_CRF402-JFx414_84147_Dryopteridaceae-Amauropelta_2019-07-11-f.wav
2019-07-11-h	0:44	Tepet_BotFl_JFx414-CRF402_84148_Orchidaceae-Isochilus_2019-07-11-h.wav
2019-07-11-j	0:47	Tepet_BotFl_CRF402-JFx414_84149_Salicaceae-Salix_2019-07-11-j.wav
2019-07-11-l	0:39	Tepet_BotFl_JFx414-CRF402_84150_Cyperaceae-Cyperus_2019-07-11-l.wav
2019-07-11-n	1:00	Tepet_BotFl_CRF402-JFx414_84151_Poaceae-Andropogon_2019-07-11-n.wav
2019-07-11-p	0:59	Tepet_BotFl_JFx414-CRF402_84152_Asteraceae-Ageratum_2019-07-11-p.wav
2019-07-11-r	1:10	Tepet_BotFl_CRF402-JFx414_84153_Solanaceae-Solanum_2019-07-11-r.wav
2019-07-11-t	0:58	Tepet_BotFl_CRF402-JFx414_84154_Cucurbitaceae-Echinopepon_2019-07-11-t.wav
2019-07-11-v	1:06	Tepet_BotFl_CRF402-JFx414_84155_Brassicaceae-Nasturtium_2019-07-11-v.wav
2019-07-11-x	1:10	Tepet_BotFl_JFx414-CRF402_84156_Salicaceae-Xilosma_2019-07-11-x.wav
2019-07-11-z	1:33	Tepet_BotFl_CRF402-JFx414_84157_Iridaceae-Crocosmia_2019-07-11-z.wav
2019-07-12-b	0:46	Tepet_BotFl_CRF402-JFx414_84159_Smilacaceae-Smilax_2019-07-12-b.wav
2019-07-12-d	1:16	Tepet_BotFl_CRF402-JFx414_84160_Heliconiaceae-Heliconia_2019-07-12-d.wav
2019-07-12-f	0:44	Tepet_BotFl_CRF402-JFx414_84161_Orchidaceae-Epidendrum_2019-07-12-f.wav
2019-07-12-h	0:47	Tepet_BotFl_CRF402-JFx414_84162_Piperaceae-Piper_2019-07-12-h.wav
2019-07-12-j	1:05	Tepet_BotFl_CRF402-JFx414_84163_Polypodiaceae-Pleopeltis_2019-07-12-j.wav
2019-07-12-l	1:11	Tepet_BotFl_CRF402-JFx414_84164_Polypodiaceae-Pendiente_2019-07-12-l.wav
2019-07-12-n	1:13	Tepet_BotFl_CRF402-JFx414_84165_Polypodiaceae-Phlebodium_2019-07-12-n.wav
2019-07-12-p	1:11	Tepet_BotFl_CRF402-JFx414_84166_Polypodiaceae-Phlebodium_2019-07-12-p.wav
2019-07-12-r	1:08	Tepet_BotFl_CRF402-JFx414_84167_Malvaceae-Triumfetta_2019-07-12-r.wav
2019-07-12-t	1:29	Tepet_BotFl_CRF402-JFx414_84168_Leguminosae-Lonchocarpus_2019-07-12-t.wav
2019-07-13-b	1:27	Tepet_BotFl_JFx414-CRF402_84169_Pinaceae-Pinus_2019-07-13-b.wav
2019-07-13-d	1:15	Tepet_BotFl_CRF402-JFx414_84170_Fagaceae-Quercus_2019-07-13-d.wav
2019-07-13-f	1:18	Tepet_BotFl_CRF402-JFx414_84171_Fagaceae-Quercus_2019-07-13-f.wav
2019-07-13-h	1:08	Tepet_BotFl_CRF402-JFx414_84172_Fagaceae-Quercus_2019-07-13-h.wav
2019-07-13-j	1:22	Tepet_BotFl_JFx414-CRF402_84173_Cannaceae-Canna_2019-07-13-j.wav
2019-07-13-l	1:21	Tepet_BotFl_CRF402-JFx414_84174_Fagaceae-Quercus_2019-07-13-l.wav
2019-07-13-n	1:12	Tepet_BotFl_CRF402-JFx414_84175_Fagaceae-Quercus_2019-07-13-n.wav
2019-07-13-p	1:38	Tepet_BotFl_CRF402-JFx414_84176_Fagaceae-Quercus_2019-07-13-p.wav
2019-07-13-r	1:32	Tepet_BotFl_CRF402-JFx414_84177_Fagaceae-Quercus_2019-07-13-r.wav
2019-07-13-t	1:45	Tepet_BotFl_CRF402-JFx414_84178_Fagaceae-Quercus_2019-07-13-t.wav
2019-07-13-v	1:39	Tepet_BotFl_CRF402-JFx414_84179_Annonaceae-Annona_2019-07-13-v.wav
2019-07-13-x	2:00	Tepet_BotFl_CRF402-JFx414_84180_Rosaceae-Rubus_2019-07-13-x.wav
2019-07-13-z	1:34	Tepet_BotFl_JFx414-CRF402_84181_Fagaceae-Quercus_2019-07-13-z.wav
2019-07-14-b	1:03	Tepet_BotFl_JFx414-CRF402_84182_Polypodiaceae-Campyloneurum_2019-07-14-b.wav
2019-07-14-d	1:09	Tepet_BotFl_CRF402-JFx414_84183_Fagaceae-Quercus_2019-07-14-d.wav
2019-07-14-f	1:27	Tepet_BotFl_CRF402-JFx414_84184_Leguminosae-Cercis_2019-07-14-f.wav
2019-07-14-h	1:27	Tepet_BotFl_CRF402-JFx414_84185_Leguminosae-Leucaena_2019-07-14-h.wav
2019-07-14-j	1:15	Tepet_BotFl_CRF402-JFx414_84186_Myrtaceae-Psidium_2019-07-14-j.wav
2019-07-14-l	1:15	Tepet_BotFl_CRF402-JFx414_84187_Urticaceae-Pilea_2019-07-14-l.wav
2019-07-14-n	1:20	Tepet_BotFl_CRF402-JFx414_84188_Rhamnaceae-Frangula_2019-07-14-n.wav
2019-07-14-p	1:29	Tepet_BotFl_CRF402-JFx414_84189_Fagaceae-Quercus_2019-07-14-p.wav
2019-07-14-r	1:21	Tepet_BotFl_CRF402-JFx414_84190_Rhamnaceae-Ceanothus_2019-07-14-r.wav
2019-07-15-b	1:10	Tepet_BotFl_CRF402-JFx414_84191_Primulaceae-Myrsine_2019-07-15-b.wav
2019-07-15-d	0:52	Tepet_BotFl_CRF402-JFx414_84192_Rhamnaceae-Frangula_2019-07-15-d.wav
2019-07-15-f	1:25	Tepet_BotFl_CRF402-JFx414_84193_Staphyleaceae-Turpinia_2019-07-15-f.wav
2019-07-15-h	1:14	Tepet_BotFl_CRF402-JFx414_84194_Aquifoliaceae-Ilex_2019-07-15-h.wav
2019-07-15-j	1:20	Tepet_BotFl_JFx414-CRF402_84195_Dryopteridaceae-Polystichum_2019-07-15-j.wav
2019-07-15-l	1:20	Tepet_BotFl_CRF402-JFx414_84196_Convolvulaceae-Cuscuta_2019-07-15-l.wav
2019-07-15-n	1:01	Tepet_BotFl_CRF402-JFx414_84197_Lauraceae-Pendiente_2019-07-15-n.wav
2019-07-15-p	1:15	Tepet_BotFl_JFx414-CRF402_84198_Dioscoreaceae-Dioscorea_2019-07-15-p.wav
2019-07-15-r	1:10	Tepet_BotFl_JFx414-CRF402_84199_Smilacaceae-Smilax_2019-07-15-r.wav
2019-07-15-t	1:06	Tepet_BotFl_CRF402-JFx414_84200_Solanaceae-Solanum_2019-07-15-t.wav
2019-07-15-v	1:19	Tepet_BotFl_JFx414-CRF402_84201_Lamiaceae-Ocimum_2019-07-15-v.wav
2019-07-15-x	1:04	Tepet_BotFl_CRF402-JFx414_84202_Solanaceae-Solanum_2019-07-15-x.wav
2019-07-16-b	1:24	Tepet_BotFl_CRF402-JFx414_84203_Asteraceae-Galinsoga_2019-07-16-b.wav
2019-07-16-d	1:06	Tepet_BotFl_JFx414-CRF402_84204_Urticaceae-Urtica_2019-07-16-d.wav
2019-07-16-f	1:21	Tepet_BotFl_CRF402-JFx414_84205_Lauraceae-Persea_2019-07-16-f.wav
2019-07-16-h	1:00	Tepet_BotFl_JFx414-CRF402_84206_Convolvulaceae-Ipomoea_2019-07-16-h.wav
2019-07-16-j	1:28	Tepet_BotFl_CRF402-JFx414_84207_Solanaceae-Brugmansia_2019-07-16-j.wav
2019-07-16-l	1:30	Tepet_BotFl_JFx414-CRF402_84208_Anacardiaceae-Rhus_2019-07-16-l.wav
2019-07-16-n	1:04	Tepet_BotFl_JFx414-CRF402_84209_Apocynaceae-Gonolobus_2019-07-16-n.wav
2019-07-16-p	1:16	Tepet_BotFl_JFx414-CRF402_84210_Piperaceae-Piper_2019-07-16-p.wav
2019-07-16-r	1:05	Tepet_BotFl_JFx414-CRF402_84211_Leguminosae-Amicia_2019-07-16-r.wav
2019-07-16-t	0:54	Tepet_BotFl_CRF402-JFx414_84212_Euphorbiaceae-Euphorbia_2019-07-16-t.wav
2019-07-16-v	1:14	Tepet_BotFl_JFx414-CRF402_84213_Alstroemeriaceae-Bomarea_2019-07-16-v.wav
2019-07-16-x	1:03	Tepet_BotFl_JFx414-CRF402_84214_Verbenaceae-Citharexylum_2019-07-16-x.wav
2019-07-17-b	1:08	Tepet_BotFl_CRF402-JFx414_84215_Adoxaceae-Sambucus_2019-07-17-b.wav
2019-07-17-d	1:31	Tepet_BotFl_CRF402-JFx414_84216_Loranthaceae-Psittacanthus_2019-07-17-d.wav
2019-07-17-f	1:51	Tepet_BotFl_CRF402-JFx414_84217_Cactaceae-Pendiente_2019-07-17-f.wav
2019-07-17-h	1:07	Tepet_BotFl_CRF402-JFx414_84218_Brassicaceae-Lepidium_2019-07-17-h.wav
2019-07-17-j	1:21	Tepet_BotFl_CRF402-JFx414_84219_Euphorbiaceae-Acalypha_2019-07-17-j.wav
2019-07-17-l	1:08	Tepet_BotFl_CRF402-JFx414_84220_Leguminosae-Senna_2019-07-17-l.wav
2019-07-17-n	1:42	Tepet_BotFl_CRF402-JFx414_84221_Bignoniaceae-Parmentiera_2019-07-17-n.wav
2019-07-17-p	1:36	Tepet_BotFl_CRF402-JFx414_84222_Poaceae-Cynodon_2019-07-17-p.wav
2019-07-17-r	2:14	Tepet_BotFl_CRF402-JFx414_84223_Leguminosae-Phaseolus_2019-07-17-r.wav
2019-07-17-t	1:19	Tepet_BotFl_CRF402-JFx414_84224_Asteraceae-Acmella_2019-07-17-t.wav
2019-07-17-v	1:38	Tepet_BotFl_CRF402-JFx414_84225_Apiaceae-Cyclospermum_2019-07-17-v.wav
2019-07-17-x	2:09	Tepet_BotFl_CRF402-JFx414_84226_Fabaceae-Vicia_2019-07-17-x.wav
2019-07-18-ab	1:32	Tepet_BotFl_CRF402-JFx414_84240_Portulacaceae-Portulaca_2019-07-18-ab.wav
2019-07-18-ad	2:22	Tepet_BotFl_CRF402-JFx414_84241_Nyctaginaceae-Mirabilis_2019-07-18-ad.wav
2019-07-18-b	1:45	Tepet_BotFl_CRF402-JFx414_84227_Amaranthaceae-Amaranthus_2019-07-18-b.wav
2019-07-18-d	1:40	Tepet_BotFl_CRF402-JFx414_84228_Polygonaceae-Rumex_2019-07-18-d.wav
2019-07-18-f	3:04	Tepet_BotFl_CRF402-JFx414_84229_Poaceae-Zea_2019-07-18-f.wav
2019-07-18-h	1:19	Tepet_BotFl_CRF402-JFx414_84230_Rubiaceae-Palicourea_2019-07-18-h.wav
2019-07-18-j	1:55	Tepet_BotFl_CRF402-JFx414_84231_Boraginaceae-Wigandia_2019-07-18-j.wav
2019-07-18-l	2:00	Tepet_BotFl_CRF402-JFx414_84232_Cannabaceae-Trema_2019-07-18-l.wav
2019-07-18-n	1:28	Tepet_BotFl_CRF402-JFx414_84233_Melastomataceae-Heterocentron_2019-07-18-n.wav
2019-07-18-p	2:03	Tepet_BotFl_CRF402-JFx414_84234_Sapotaceae-Casimiroa_2019-07-18-p.wav
2019-07-18-r	1:36	Tepet_BotFl_CRF402-JFx414_84235_Amaranthaceae-Dysphania_2019-07-18-r.wav
2019-07-18-t	1:57	Tepet_BotFl_CRF402-JFx414_84236_Solanaceae-Physalis_2019-07-18-t.wav
2019-07-18-v	1:41	Tepet_BotFl_CRF402-JFx414_84237_Ericaceae-Gaultheria_2019-07-18-v.wav
2019-07-18-x	1:07	Tepet_BotFl_CRF402-JFx414_84238_Asteraceae-Pendiente_2019-07-18-x.wav
2019-07-18-z	1:07	Tepet_BotFl_CRF402-JFx414_84239_Solanaceae-Solanum_2019-07-18-z.wav
